seed, strategy, remain mycol tiles
1572887,123456789,25
230980281,123456789,12
230980390,123456789,31
230980453,123456789,42
230980468,123456789,40
230980484,123456789,0
230980515,123456789,23
230980531,123456789,0
230980546,123456789,33
230980546,123456789,35
230980562,123456789,0
230980578,123456789,0
230980609,123456789,13
230980640,123456789,0
230980671,123456789,0
230980687,123456789,16
230980718,123456789,21
230980734,123456789,12
230980765,123456789,14
1572887,123456789,0
230982312,123456789,31
230982343,123456789,0
230982359,123456789,0
230982375,123456789,32
230982390,123456789,18
230982421,123456789,28
230982421,123456789,31
230982453,123456789,39
230982468,123456789,0
230982500,123456789,0
230982515,123456789,1
230982546,123456789,13
230982562,123456789,0
230982609,123456789,23
230982625,123456789,0
230982640,123456789,0
230982671,123456789,10
1572887,123456789,28
230983984,123456789,25
230984000,123456789,28
230984015,123456789,14
230984031,123456789,0
230984062,123456789,17
230984078,123456789,21
230984093,123456789,0
230984125,123456789,0
230984140,123456789,42
230984156,123456789,47
230984171,123456789,30
230984187,123456789,-1
230984218,123456789,16
230984234,123456789,17
1572887,123456789,0
230984875,123456789,0
230984906,123456789,12
230984937,123456789,30
230984937,123456789,20
230984953,123456789,13
230985000,123456789,10
230985015,123456789,13
230985031,123456789,16
230985046,123456789,0
230985062,123456789,0
230985093,123456789,10
230985109,123456789,17
230985125,123456789,0
230985140,123456789,7
230985156,123456789,0
230985187,123456789,33
230985203,123456789,0
230985218,123456789,21
1572887,123456789,0
230985437,123456789,37
230985453,123456789,30
230985468,123456789,22
230985500,123456789,11
230985562,123456789,16
230985578,123456789,0
230985593,123456789,26
230985609,123456789,39
230985625,123456789,9
230985640,123456789,32
230985656,123456789,45
230985671,123456789,0
230985687,123456789,0
230985718,123456789,30
230985718,123456789,0
230985734,123456789,20
230985750,123456789,0
230985765,123456789,16
230985781,123456789,0
230985796,123456789,-1
230985828,123456789,12
1572887,123456789,22
230986031,123456789,31
230986046,123456789,22
230986062,123456789,0
230986078,123456789,40
230986093,123456789,11
230986109,123456789,6
230986125,123456789,0
230986187,123456789,21
230986250,123456789,8
230986265,123456789,-1
230986296,123456789,0
230986296,123456789,0
230986312,123456789,0
230986343,123456789,31
1572887,123456789,18
230986546,123456789,0
230986578,123456789,0
230986593,123456789,39
230986593,123456789,19
230986609,123456789,7
230986640,123456789,18
230986687,123456789,29
230986703,123456789,32
230986734,123456789,0
230986750,123456789,6
230986828,123456789,-1
230986843,123456789,28
230986859,123456789,40
1572887,123456789,14
230987062,123456789,0
230987078,123456789,-1
230987078,123456789,-1
230987093,123456789,30
230987109,123456789,32
230987125,123456789,1
230987140,123456789,1
230987156,123456789,32
230987171,123456789,0
230987187,123456789,21
230987218,123456789,0
230987265,123456789,7
230987281,123456789,39
230987312,123456789,0
230987328,123456789,34
230987343,123456789,0
230987375,123456789,32
230987406,123456789,0
230987437,123456789,13
230987453,123456789,2
1572887,123456789,6
230987703,123456789,0
230987734,123456789,0
230987765,123456789,27
230987781,123456789,20
230987812,123456789,14
230987828,123456789,16
230987828,123456789,16
230987843,123456789,5
230987859,123456789,37
230987875,123456789,0
230987906,123456789,12
230987921,123456789,0
230987953,123456789,0
230987984,123456789,15
1572887,123456789,20
230988156,123456789,18
230988187,123456789,30
230988203,123456789,0
230988218,123456789,27
230988250,123456789,0
230988265,123456789,6
230988312,123456789,31
230988328,123456789,37
230988359,123456789,17
230988390,123456789,0
230988406,123456789,3
230988421,123456789,20
1572887,123456789,-1
230988640,123456789,10
230988671,123456789,19
230988703,123456789,37
230988734,123456789,28
230988750,123456789,0
230988765,123456789,0
230988781,123456789,19
230988796,123456789,42
230988812,123456789,21
230988828,123456789,0
230988843,123456789,14
230988875,123456789,0
230988890,123456789,23
230988906,123456789,0
230988937,123456789,0
230988953,123456789,0
230988984,123456789,28
230989000,123456789,34
1572887,123456789,0
230989187,123456789,12
230989203,123456789,15
230989218,123456789,23
230989234,123456789,14
230989250,123456789,22
230989265,123456789,20
230989296,123456789,14
230989312,123456789,22
230989328,123456789,8
230989359,123456789,22
230989359,123456789,22
230989375,123456789,6
1572887,123456789,25
230989562,123456789,30
230989593,123456789,0
230989609,123456789,27
230989656,123456789,10
230989703,123456789,20
230989734,123456789,22
230989765,123456789,0
230989812,123456789,23
230989843,123456789,0
230989859,123456789,0
230989890,123456789,50
230989890,123456789,34
1572887,123456789,0
230990109,123456789,24
230990125,123456789,34
230990156,123456789,39
230990171,123456789,24
230990218,123456789,0
230990234,123456789,14
230990265,123456789,40
230990281,123456789,26
230990312,123456789,9
230990343,123456789,4
230990375,123456789,15
1572887,123456789,0
230990562,123456789,0
230990593,123456789,30
230990609,123456789,24
230990625,123456789,27
230990640,123456789,2
230990656,123456789,27
230990671,123456789,0
230990687,123456789,0
230990703,123456789,10
230990734,123456789,-1
230990734,123456789,-1
230990750,123456789,14
230990781,123456789,21
230990812,123456789,0
230990828,123456789,35
1572887,123456789,29
230991031,123456789,32
230991046,123456789,17
230991062,123456789,0
230991093,123456789,7
230991125,123456789,0
230991156,123456789,0
230991171,123456789,0
230991203,123456789,23
230991234,123456789,7
230991234,123456789,30
230991250,123456789,20
230991281,123456789,43
230991296,123456789,18
230991312,123456789,29
230991343,123456789,0
230991359,123456789,10
230991375,123456789,0
230991390,123456789,0
230991437,123456789,36
230991453,123456789,-1
230991484,123456789,2
230991531,123456789,15
230991531,123456789,15
230991546,123456789,0
230991578,123456789,23
1572887,123456789,0
230991765,123456789,0
230991781,123456789,4
230991796,123456789,0
230991843,123456789,6
230991875,123456789,-1
230991890,123456789,24
230991906,123456789,18
230991937,123456789,31
230991953,123456789,22
230992046,123456789,0
230992062,123456789,11
230992093,123456789,16
230992109,123456789,0
230992140,123456789,0
230992171,123456789,10
230992203,123456789,0
230992218,123456789,32
230992234,123456789,40
1572887,123456789,39
230992421,123456789,0
230992453,123456789,53
230992468,123456789,1
230992484,123456789,0
230992515,123456789,0
230992531,123456789,18
230992546,123456789,33
230992562,123456789,31
230992578,123456789,0
230992593,123456789,0
230992640,123456789,0
230992656,123456789,0
230992687,123456789,24
230992703,123456789,0
230992781,123456789,15
230992796,123456789,0
230992828,123456789,18
230992843,123456789,0
230992859,123456789,39
230992890,123456789,0
230992921,123456789,0
230992953,123456789,0
230992984,123456789,15
230993000,123456789,14
