seed,strategy,remain mycol tiles
1572887,Not all GreedyAI,14
57340000,Not all GreedyAI,1
57340343,Not all GreedyAI,29
1572887,Not all GreedyAI,9
57427734,Not all GreedyAI,4
1572887,Not all GreedyAI,44
57566656,Not all GreedyAI,18
57566984,Not all GreedyAI,0
57567296,Not all GreedyAI,11
57567578,Not all GreedyAI,10
57567859,Not all GreedyAI,26
57568062,Not all GreedyAI,0
57568562,Not all GreedyAI,0
57568968,Not all GreedyAI,13
57569250,Not all GreedyAI,-1
57569640,Not all GreedyAI,0
57569953,Not all GreedyAI,3
57570343,Not all GreedyAI,0
57570734,Not all GreedyAI,10
57571109,Not all GreedyAI,45
57571234,Not all GreedyAI,0
57571609,Not all GreedyAI,0
57572046,Not all GreedyAI,-1
57572406,Not all GreedyAI,0
57572828,Not all GreedyAI,0
57573109,Not all GreedyAI,18
57573343,Not all GreedyAI,0
57573609,Not all GreedyAI,0
57574078,Not all GreedyAI,0
57574453,Not all GreedyAI,0
57574812,Not all GreedyAI,0
57575156,Not all GreedyAI,0
57575437,Not all GreedyAI,0
57575718,Not all GreedyAI,0
57576109,Not all GreedyAI,8
57576578,Not all GreedyAI,0
57576859,Not all GreedyAI,0
57577125,Not all GreedyAI,0
57577453,Not all GreedyAI,27
57577609,Not all GreedyAI,0
57577984,Not all GreedyAI,31
57578140,Not all GreedyAI,0
57578390,Not all GreedyAI,0
57578625,Not all GreedyAI,0
57578859,Not all GreedyAI,6
57579125,Not all GreedyAI,0
57579468,Not all GreedyAI,0
57579734,Not all GreedyAI,0
57579968,Not all GreedyAI,0
57580250,Not all GreedyAI,0
57580593,Not all GreedyAI,0
57580843,Not all GreedyAI,0
57581171,Not all GreedyAI,0
57581437,Not all GreedyAI,-1
57581718,Not all GreedyAI,0
57582031,Not all GreedyAI,0
57582406,Not all GreedyAI,0
57582703,Not all GreedyAI,0
57583000,Not all GreedyAI,0
57583250,Not all GreedyAI,0
57583468,Not all GreedyAI,0
57583718,Not all GreedyAI,0
57584031,Not all GreedyAI,0
57584453,Not all GreedyAI,0
57584718,Not all GreedyAI,0
57584937,Not all GreedyAI,0
57585203,Not all GreedyAI,0
57585437,Not all GreedyAI,0
57585671,Not all GreedyAI,0
57585890,Not all GreedyAI,-1
57586062,Not all GreedyAI,0
57586218,Not all GreedyAI,0
57586359,Not all GreedyAI,0
57586546,Not all GreedyAI,0
57586718,Not all GreedyAI,0
57586906,Not all GreedyAI,0
57587109,Not all GreedyAI,0
57587281,Not all GreedyAI,0
57587468,Not all GreedyAI,0
57587625,Not all GreedyAI,0
57587828,Not all GreedyAI,0
57588000,Not all GreedyAI,0
57588156,Not all GreedyAI,-1
57588343,Not all GreedyAI,-1
57588546,Not all GreedyAI,0
57588703,Not all GreedyAI,0
57588890,Not all GreedyAI,0
57589046,Not all GreedyAI,0
57589312,Not all GreedyAI,0
57589515,Not all GreedyAI,0
57589703,Not all GreedyAI,0
57589890,Not all GreedyAI,0
57590062,Not all GreedyAI,0
57590250,Not all GreedyAI,0
57590406,Not all GreedyAI,0
57590609,Not all GreedyAI,0
57590781,Not all GreedyAI,0
57590953,Not all GreedyAI,0
57591140,Not all GreedyAI,0
57591296,Not all GreedyAI,0
57591562,Not all GreedyAI,0
57591890,Not all GreedyAI,0
57592078,Not all GreedyAI,0
57592250,Not all GreedyAI,-1
57592421,Not all GreedyAI,0
57592593,Not all GreedyAI,0
57592796,Not all GreedyAI,0
57592984,Not all GreedyAI,0
57593156,Not all GreedyAI,0
57593328,Not all GreedyAI,-1
57593515,Not all GreedyAI,0
1572887,Not all GreedyAI,11
58053046,Not all GreedyAI,33
58053187,Not all GreedyAI,9
58053500,Not all GreedyAI,30
58053687,Not all GreedyAI,22
